"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 11 03:13:01 GMT 2024","Mon Mar 11 03:13:01 GMT 2024","378","Platform - Biller","Roles","Activate Role","","","Deactivate Role - Nonexisting Role Id",""
"passed","Mon Mar 11 03:12:57 GMT 2024","Mon Mar 11 03:12:58 GMT 2024","566","Platform - Biller","Roles","Fetch Role Stats","","","Fetch Role Stats - No Token",""
"passed","Mon Mar 11 03:12:40 GMT 2024","Mon Mar 11 03:12:41 GMT 2024","296","Auth","Login","","","","Login - Empty Email Field",""
"passed","Mon Mar 11 03:12:55 GMT 2024","Mon Mar 11 03:12:55 GMT 2024","289","Platform - Biller","Roles","Update Role","","","Update Role - Invalid or Expired Authorization",""
"passed","Mon Mar 11 03:12:44 GMT 2024","Mon Mar 11 03:12:44 GMT 2024","298","Auth","Login 2FA","","","","Login (2FA) - Empty Key",""
"passed","Mon Mar 11 03:12:50 GMT 2024","Mon Mar 11 03:12:51 GMT 2024","297","Platform - Biller","Roles","Fetch Roles with ID","","","Fetch Roles - Invalid or Expired Authorization",""
"passed","Mon Mar 11 03:12:43 GMT 2024","Mon Mar 11 03:12:43 GMT 2024","300","Auth","Login 2FA","","","","Login (2FA) - Valid",""
"passed","Mon Mar 11 03:12:39 GMT 2024","Mon Mar 11 03:12:40 GMT 2024","1448","Auth","Login","","","","Login Invalid Credentials",""
"passed","Mon Mar 11 03:12:41 GMT 2024","Mon Mar 11 03:12:41 GMT 2024","310","Auth","Login","","","","Login - Empty Password Field",""
"failed","Mon Mar 11 03:12:58 GMT 2024","Mon Mar 11 03:12:59 GMT 2024","378","Platform - Biller","Roles","Deactivate Role","","","Deactivate Role - Empty role Id",""
"failed","Mon Mar 11 03:12:58 GMT 2024","Mon Mar 11 03:12:58 GMT 2024","625","Platform - Biller","Roles","Deactivate Role","","","Deactivate Role - Valid",""
"failed","Mon Mar 11 03:12:53 GMT 2024","Mon Mar 11 03:12:54 GMT 2024","398","Platform - Biller","Roles","Update Role","","","Update Role- Role Name Already Exist",""
"failed","Mon Mar 11 03:12:46 GMT 2024","Mon Mar 11 03:12:46 GMT 2024","392","Platform - Biller","Roles","Create Role","","","Create Role - Already Existing Role Name",""
"failed","Mon Mar 11 03:12:52 GMT 2024","Mon Mar 11 03:12:53 GMT 2024","379","Platform - Biller","Roles","Update Role","","","Update Role - Invalid/Incomplete Token",""
"passed","Mon Mar 11 03:12:43 GMT 2024","Mon Mar 11 03:12:43 GMT 2024","322","Auth","Login 2FA","","","","Login (2FA) - Valid (For Approval)",""
"passed","Mon Mar 11 03:12:56 GMT 2024","Mon Mar 11 03:12:56 GMT 2024","293","Platform - Biller","Roles","Get Permissions","","","Fetch Permissions - Invalid/ Expired Authorization",""
"failed","Mon Mar 11 03:12:45 GMT 2024","Mon Mar 11 03:12:45 GMT 2024","397","Platform - Biller","Roles","Create Role","","","Create Role Copy",""
"passed","Mon Mar 11 03:12:57 GMT 2024","Mon Mar 11 03:12:57 GMT 2024","295","Platform - Biller","Roles","Fetch Role Stats","","","Fetch Role Stats - Expired Tken",""
"failed","Mon Mar 11 03:12:54 GMT 2024","Mon Mar 11 03:12:55 GMT 2024","390","Platform - Biller","Roles","Update Role","","","Update Role - Inactive Role",""
"failed","Mon Mar 11 03:13:00 GMT 2024","Mon Mar 11 03:13:00 GMT 2024","378","Platform - Biller","Roles","Activate Role","","","Activate Role - Empty role Id",""
"passed","Mon Mar 11 03:12:37 GMT 2024","Mon Mar 11 03:12:39 GMT 2024","2049","Auth","Login","","","","Valid Login with 2FA",""
"broken","Mon Mar 11 03:13:01 GMT 2024","Mon Mar 11 03:13:01 GMT 2024","51","","","","","","App's Health",""
"failed","Mon Mar 11 03:12:52 GMT 2024","Mon Mar 11 03:12:52 GMT 2024","394","Platform - Biller","Roles","Update Role","","","Update Role - Empty Description",""
"failed","Mon Mar 11 03:12:47 GMT 2024","Mon Mar 11 03:12:47 GMT 2024","386","Platform - Biller","Roles","Create Role","","","Create Role - Empty Permission",""
"failed","Mon Mar 11 03:13:00 GMT 2024","Mon Mar 11 03:13:01 GMT 2024","383","Platform - Biller","Roles","Activate Role","","","Activate Role - Invalid Role Id",""
"passed","Mon Mar 11 03:12:41 GMT 2024","Mon Mar 11 03:12:41 GMT 2024","306","Auth","Login","","","","Login - Invalid Email Field",""
"failed","Mon Mar 11 03:13:00 GMT 2024","Mon Mar 11 03:13:00 GMT 2024","402","Platform - Biller","Roles","Activate Role","","","Activate Role - Valid",""
